    delta_RA   delta_DEC
    0.0365     -0.0206
    0.0170     -0.0640
   -0.0082     -0.0687
   -0.0024     -0.0491
    0.0209     -0.0849
    0.0123     -0.0092
    0.0028     -0.0446
   -0.0410      0.0033
   -0.0057     -0.0695
    0.0032     -0.0772
    0.0052     -0.0761
    0.0019     -0.0176
   -0.0138     -0.0180
   -0.0197     -0.0389
   -0.0771     -0.0258
    0.0078     -0.0342
   -0.0108     -0.0120
    0.0013     -0.2643
   -0.0420      0.0106
    0.0822     -0.0071
   -0.0176      0.0132
   -0.0082     -0.0044
    0.0039     -0.0048
    0.0025      0.0246
    0.0118      0.0027
    0.0066      0.0730
   -0.0029      0.0197
    0.0030      0.0433
    0.0451      0.0120
    0.0203      0.0431
    0.0035      0.0235
    0.0105      0.0480
   -0.0178      0.0292
    0.0418      0.0476
   -0.0052      0.0091
    0.0100      0.0032
    0.0140      0.0185
   -0.0254      0.0776
   -0.0089     -0.0011
   -0.0375      0.0096
   -0.0287     -0.0624
    0.0513     -0.0691
   -0.0053     -0.0102
   -0.0175     -0.0100
   -0.0238     -0.0738
    0.0149     -0.0259
    0.0228     -0.0629
    0.0145     -0.3049
    0.0031     -0.2608
    0.3362     -0.1056
   -0.1110     -0.3550
    0.0063     -0.0408
   -0.1101     -0.0295
    0.0662     -0.1382
   -0.0328     -0.0747
   -0.1707      0.1418
   -0.0778     -0.0420
   -0.0041     -0.0663
   -0.0068     -0.0063
    0.2057     -0.0728
   -0.0211     -0.0930
    0.0547     -0.0708
    0.2515      0.0894
    0.0231     -0.0170
    0.2027     -0.1838
   -0.0211     -0.0974
    0.1112     -0.0065
    0.6364     -0.9381
    0.0382      0.2112
   -0.0127     -0.0425
   -0.0717     -0.0363
    0.1152      0.0747
    0.0074     -0.0905
    0.0639     -0.0869
    0.1131     -0.1163
    0.0078     -0.1081
    0.1468     -0.0047
   -0.0854      0.0224
   -0.1743      0.3554
   -0.0130     -0.0026
   -0.0453     -0.0481
   -0.1117     -0.1936
    0.1255     -0.4276
   -2.5317      8.1153
   -0.0017     -0.0441
   -0.0102     -0.0064
    0.0763     -0.1703
    0.0371     -0.1067
   -0.0095      0.1672
    0.0335      0.0563
   -0.0189     -0.0019
    0.0140     -0.0139
   -0.0876      0.2524
    0.1041      0.2481
    0.1316      0.0126
   -0.0311     -0.0691
   -0.0786      0.2081
   -0.0640     -0.0461
    0.0733      0.0171
    0.0130     -0.0562
   -0.0201     -0.0041
   -0.1449      0.0835
   -0.0263      0.0478
   -0.1704      0.1826
   -0.0343      0.0850
   -0.0307     -0.3216
    0.0047     -0.0616
   -0.0698      0.0725
   -0.0228     -0.0786
   -0.1633     -0.0886
    0.0433     -0.0617
   -0.0325      0.0275
    0.0189     -0.0239
   -0.0111     -0.0209
   -0.0180     -0.0336
   -0.0189      0.0007
   -0.0274      0.0155
    0.0332     -0.0629
    0.1970      0.1736
    0.0336     -0.0080
    0.0415      0.0005
    0.0074     -0.1191
    0.1436     -0.0858
   -0.0101     -0.1232
    0.2023      0.1728
    0.0052      0.0502
   -0.1991     -0.0536
   -0.0178     -0.0183
   -0.0923     -0.1239
   -0.1421      0.0786
    0.0202      0.0634
    0.1389      0.1939
   -0.0844      0.0477
    0.0070      0.0337
   -0.0524     -0.2204
    0.0508      0.0663
   -0.0343      0.0678
    0.0501      0.0192
   -0.0027      0.0240
   -0.0010      0.0134
    0.0266      0.0720
   -0.0197      0.0129
    0.0073      0.0007
   -0.0205      0.0548
   -0.0055      0.1661
   -0.0199      0.0154
   -0.0004     -0.1032
   -0.0058      0.2429
   -0.1640      0.5576
  -11.9773     10.2582
    0.1593      0.1209
    0.1050     -0.2437
   -0.0639     -0.0078
    0.1359      0.1162
    0.0664      0.1458
    0.0084     -0.0254
    0.0603      0.1279
   -0.0006      0.0216
    0.0532      0.0018
   -0.0821     -0.1013
    0.0570      0.0650
   -0.0744      0.1293
    0.0300      0.0624
    0.0138     -0.0709
    0.0496     -0.1400
    0.0556     -0.0885
    0.2476     -0.2113
   -0.0167      0.0178
    0.0196      0.0324
   -0.0733      0.0270
    0.0258     -0.0378
    0.0778      0.0194
   -0.0007      0.0453
    0.0612      0.1199
    0.0578      0.0699
    0.0047      0.0329
   -0.0079     -0.0637
   -0.0451      0.0635
    0.0213      0.0836
    0.1457      0.4501
    0.0327     -0.0009
    0.0265      0.1350
   -0.1647     -0.0239
    0.0888     -0.4861
   -0.0062      0.1764
    0.0261      0.1486
    0.0171      0.0445
   -0.1360      0.0317
    0.0063      0.0444
    0.0133     -0.2325
    0.0363      0.0584
   -0.0090     -0.0606
    0.0438      0.0333
    0.0351     -0.0136
   -0.1865      0.3122
   -0.0228     -0.0210
   -0.0545     -0.0623
    0.0838      0.1205
    0.0914      0.1110
   -0.0321      0.0788
    0.0085      0.0115
    0.0443      0.0326
   -0.0039      0.1047
   -0.2129      0.2850
   -0.0565     -0.0449
   -0.0033      0.1416
   -0.0622      0.0691
    0.0560     -0.0029
   -0.1386     -0.1591
    0.0255      0.0330
   -0.3612      0.3070
   -0.6124      0.1387
   -0.1325      0.0212
   -0.0611     -0.0903
    0.0257      0.0603
    0.0176     -0.0699
   -0.0307     -0.1588
    0.0312     -0.0147
    0.0578      0.0193
    0.0037      0.1430
    0.0039     -0.0821
   -0.1550      0.1440
   -0.1711      0.4002
   -0.0051     -0.0201
    0.0118     -0.0860
    0.2908      0.0232
    0.0306     -0.0292
    0.0079      0.1094
   -0.0007     -0.0040
   -0.0146      0.0875
   -0.0140     -0.0516
    0.0402      0.0613
   -0.0612      0.1688
   -0.0845     -0.2752
   -0.0404      0.1232
   -0.0015      0.0950
   -0.0694      0.0008
   -0.0259     -0.0555
    0.0354     -0.0193
    0.0355     -0.0014
    0.0761     -0.0285
   -0.0460     -0.0141
    0.0698     -0.0123
   -0.0316     -0.0248
   -0.0084      0.0890
    0.0068      0.0453
   -0.0102     -0.0784
   -0.8432      0.0228
    0.0129     -0.0559
    0.0075      0.0272
    0.0682     -0.0114
    0.1124      0.0687
    0.0365      0.1179
   -0.1007     -0.0086
    0.0294     -0.1206
   -0.0352     -0.0517
   -0.0829     -0.0135
    0.0240     -0.0972
    0.1048     -0.1082
    0.0390     -0.0554
   -0.0682     -0.0078
   -0.0069      0.0130
    0.0941     -0.0114
    0.0073     -0.0589
    0.0707      0.0198
    0.0377     -0.0612
   -0.0097     -0.0359
    0.0747      0.3955
    0.0934      0.0414
   -0.0014      0.0679
    0.1474      0.1790
   -0.0061     -0.0836
    0.0151      0.2665
    0.0091     -0.0531
    0.0095     -0.0597
   -0.0105      0.0098
    0.1282     -0.0873
    0.0350     -0.0907
    0.0031     -0.0443
   -0.0147     -0.1238
    0.0511     -0.0818
