MJD,cpo_dx,cpo_dy,err_dx,err_dy
51544,-0.000137,-2.6e-05,0.000137,2.6e-05
51545,-0.000126,-5.6e-05,0.000126,5.6e-05
51546,-8.9e-05,-9.1e-05,8.9e-05,9.1e-05
51547,-3.4e-05,-0.000129,3.4e-05,0.000129
51548,3.2e-05,-0.000164,3.2e-05,0.000164
51549,0.000121,-0.000128,0.000121,0.000128
51550,0.000209,-7.1e-05,0.000209,7.1e-05
51551,0.000275,-2.6e-05,0.000275,2.6e-05
51552,0.000306,-5e-06,0.000306,5e-06
51553,0.000291,-1.7e-05,0.000291,1.7e-05
51554,0.000216,-7.4e-05,0.000216,7.4e-05
51555,5e-05,-0.000239,5e-05,0.000239
51556,-2.5e-05,1.4e-05,2.5e-05,1.4e-05
51557,-4.8e-05,0.000313,4.8e-05,0.000313
51558,-5.8e-05,0.00042,5.8e-05,0.00042
51559,-5.3e-05,0.000413,5.3e-05,0.000413
51560,-3.6e-05,0.000317,3.6e-05,0.000317
51561,-1e-05,0.000159,1e-05,0.000159
51562,2e-05,-3.6e-05,2e-05,3.6e-05
51563,3.8e-05,-0.000104,3.8e-05,0.000104
51564,5e-05,-0.00012,5e-05,0.00012
51565,6e-05,-0.000132,6e-05,0.000132
51566,6.7e-05,-0.00014,6.7e-05,0.00014
51567,7e-05,-0.000145,7e-05,0.000145
51568,6.9e-05,-0.000146,6.9e-05,0.000146
51569,6.2e-05,-0.000144,6.2e-05,0.000144
51570,0.0,-0.000138,0.0,0.000138
51571,-7.4e-05,-0.000129,7.4e-05,0.000129
51572,-0.000136,-0.000118,0.000136,0.000118
51573,-0.000175,-0.000107,0.000175,0.000107
51574,-0.000182,-9.7e-05,0.000182,9.7e-05
51575,-0.000149,-8.7e-05,0.000149,8.7e-05
51576,-5e-05,-8.2e-05,5e-05,8.2e-05
51577,-6.6e-05,-4.3e-05,6.6e-05,4.3e-05
51578,-0.000179,1.7e-05,0.000179,1.7e-05
51579,-0.00033,0.0,0.00033,0.0
51580,-0.000458,-4.2e-05,0.000458,4.2e-05
51581,-0.000504,-9.1e-05,0.000504,9.1e-05
51582,-0.000407,-0.000128,0.000407,0.000128
51583,-6e-05,-0.00013,6e-05,0.00013
51584,1.2e-05,-9.6e-05,1.2e-05,9.6e-05
51585,-0.000162,-3.8e-05,0.000162,3.8e-05
51586,-0.000173,1.6e-05,0.000173,1.6e-05
51587,-0.000149,5e-05,0.000149,5e-05
51588,-0.000109,4.8e-05,0.000109,4.8e-05
51589,-7.4e-05,-7e-06,7.4e-05,7e-06
51590,-6.9e-05,-0.000139,6.9e-05,0.000139
51591,-6.8e-05,-0.00024,6.8e-05,0.00024
51592,-6.7e-05,-0.000285,6.7e-05,0.000285
51593,-6.7e-05,-0.00029,6.7e-05,0.00029
51594,-6.8e-05,-0.000264,6.8e-05,0.000264
51595,-6.9e-05,-0.000216,6.9e-05,0.000216
51596,-7.1e-05,-0.000152,7.1e-05,0.000152
51597,-7.3e-05,-8.1e-05,7.3e-05,8.1e-05
51598,-7.1e-05,-6.6e-05,7.1e-05,6.6e-05
51599,-6.9e-05,-7.1e-05,6.9e-05,7.1e-05
51600,-6.8e-05,-7.9e-05,6.8e-05,7.9e-05
51601,-6.6e-05,-8.9e-05,6.6e-05,8.9e-05
51602,-6.6e-05,-0.0001,6.6e-05,0.0001
51603,-6.7e-05,-0.000112,6.7e-05,0.000112
51604,-6.9e-05,-0.000125,6.9e-05,0.000125
51605,-8e-05,-0.000136,8e-05,0.000136
51606,-9.3e-05,-0.000146,9.3e-05,0.000146
51607,-0.000107,-0.000154,0.000107,0.000154
51608,-0.000121,-0.000162,0.000121,0.000162
51609,-0.000133,-0.000167,0.000133,0.000167
51610,-0.000143,-0.00017,0.000143,0.00017
51611,-0.00015,-0.000169,0.00015,0.000169
51612,-0.000121,-0.00018,0.000121,0.00018
51613,-8.4e-05,-0.000188,8.4e-05,0.000188
51614,-5.5e-05,-0.000187,5.5e-05,0.000187
51615,-4e-05,-0.000172,4e-05,0.000172
51616,-4.6e-05,-0.00014,4.6e-05,0.00014
51617,-7.7e-05,-8.9e-05,7.7e-05,8.9e-05
51618,-0.000144,-1.1e-05,0.000144,1.1e-05
51619,-0.000191,4.6e-05,0.000191,4.6e-05
51620,-0.000206,7.4e-05,0.000206,7.4e-05
51621,-0.000198,8e-05,0.000198,8e-05
51622,-0.000171,7.1e-05,0.000171,7.1e-05
51623,-0.00013,5.1e-05,0.00013,5.1e-05
51624,-7.8e-05,2.4e-05,7.8e-05,2.4e-05
51625,-2e-05,-4e-06,2e-05,4e-06
51626,0.000109,2.3e-05,0.000109,2.3e-05
51627,0.000244,6.5e-05,0.000244,6.5e-05
51628,0.000342,9.8e-05,0.000342,9.8e-05
51629,0.000384,0.000117,0.000384,0.000117
51630,0.000353,0.000117,0.000353,0.000117
51631,0.000229,9.3e-05,0.000229,9.3e-05
51632,-1.8e-05,3.5e-05,1.8e-05,3.5e-05
51633,-0.000212,-1.6e-05,0.000212,1.6e-05
51634,-0.000318,-5.1e-05,0.000318,5.1e-05
51635,-0.000359,-7.5e-05,0.000359,7.5e-05
51636,-0.000347,-9e-05,0.000347,9e-05
51637,-0.000295,-9.8e-05,0.000295,9.8e-05
51638,-0.000213,-0.000102,0.000213,0.000102
51639,-0.000114,-0.000104,0.000114,0.000104
51640,-7.3e-05,-0.000124,7.3e-05,0.000124
51641,-5.2e-05,-0.00015,5.2e-05,0.00015
51642,-3.1e-05,-0.000173,3.1e-05,0.000173
51643,-9e-06,-0.000194,9e-06,0.000194
51644,1e-05,-0.000211,1e-05,0.000211
51645,2.8e-05,-0.000222,2.8e-05,0.000222
51646,4.2e-05,-0.000227,4.2e-05,0.000227
51647,2.9e-05,-0.000208,2.9e-05,0.000208
51648,6e-06,-0.000177,6e-06,0.000177
51649,-1.8e-05,-0.000141,1.8e-05,0.000141
51650,-4e-05,-0.000102,4e-05,0.000102
51651,-5.8e-05,-6.1e-05,5.8e-05,6.1e-05
51652,-6.9e-05,-2e-05,6.9e-05,2e-05
51653,-7.1e-05,2e-05,7.1e-05,2e-05
51654,5.2e-05,9.1e-05,5.2e-05,9.1e-05
51655,0.000203,0.000161,0.000203,0.000161
51656,0.000321,0.00021,0.000321,0.00021
