# MJD,    cpo_dx,    cpo_dy
51544, -0.000137, -0.000026
51545, -0.000126, -0.000056
51546, -0.000089, -0.000091
51547, -0.000034, -0.000129
51548,  0.000032, -0.000164
51549,  0.000121, -0.000128
51550,  0.000209, -0.000071
51551,  0.000275, -0.000026
51552,  0.000306, -0.000005
51553,  0.000291, -0.000017
51554,  0.000216, -0.000074
51555,  0.000050, -0.000239
51556, -0.000025,  0.000014
51557, -0.000048,  0.000313
51558, -0.000058,  0.000420
51559, -0.000053,  0.000413
51560, -0.000036,  0.000317
51561, -0.000010,  0.000159
51562,  0.000020, -0.000036
51563,  0.000038, -0.000104
51564,  0.000050, -0.000120
51565,  0.000060, -0.000132
51566,  0.000067, -0.000140
51567,  0.000070, -0.000145
51568,  0.000069, -0.000146
51569,  0.000062, -0.000144
51570,  0.000000, -0.000138
51571, -0.000074, -0.000129
51572, -0.000136, -0.000118
51573, -0.000175, -0.000107
51574, -0.000182, -0.000097
51575, -0.000149, -0.000087
51576, -0.000050, -0.000082
51577, -0.000066, -0.000043
51578, -0.000179,  0.000017
51579, -0.000330,  0.000000
51580, -0.000458, -0.000042
51581, -0.000504, -0.000091
51582, -0.000407, -0.000128
51583, -0.000060, -0.000130
51584,  0.000012, -0.000096
51585, -0.000162, -0.000038
51586, -0.000173,  0.000016
51587, -0.000149,  0.000050
51588, -0.000109,  0.000048
51589, -0.000074, -0.000007
51590, -0.000069, -0.000139
51591, -0.000068, -0.000240
51592, -0.000067, -0.000285
51593, -0.000067, -0.000290
51594, -0.000068, -0.000264
51595, -0.000069, -0.000216
51596, -0.000071, -0.000152
51597, -0.000073, -0.000081
51598, -0.000071, -0.000066
51599, -0.000069, -0.000071
51600, -0.000068, -0.000079
51601, -0.000066, -0.000089
51602, -0.000066, -0.000100
51603, -0.000067, -0.000112
51604, -0.000069, -0.000125
51605, -0.000080, -0.000136
51606, -0.000093, -0.000146
51607, -0.000107, -0.000154
51608, -0.000121, -0.000162
51609, -0.000133, -0.000167
51610, -0.000143, -0.000170
51611, -0.000150, -0.000169
51612, -0.000121, -0.000180
51613, -0.000084, -0.000188
51614, -0.000055, -0.000187
51615, -0.000040, -0.000172
51616, -0.000046, -0.000140
51617, -0.000077, -0.000089
51618, -0.000144, -0.000011
51619, -0.000191,  0.000046
51620, -0.000206,  0.000074
51621, -0.000198,  0.000080
51622, -0.000171,  0.000071
51623, -0.000130,  0.000051
51624, -0.000078,  0.000024
51625, -0.000020, -0.000004
51626,  0.000109,  0.000023
51627,  0.000244,  0.000065
51628,  0.000342,  0.000098
51629,  0.000384,  0.000117
51630,  0.000353,  0.000117
51631,  0.000229,  0.000093
51632, -0.000018,  0.000035
51633, -0.000212, -0.000016
51634, -0.000318, -0.000051
51635, -0.000359, -0.000075
51636, -0.000347, -0.000090
51637, -0.000295, -0.000098
51638, -0.000213, -0.000102
51639, -0.000114, -0.000104
51640, -0.000073, -0.000124
51641, -0.000052, -0.000150
51642, -0.000031, -0.000173
51643, -0.000009, -0.000194
51644,  0.000010, -0.000211
51645,  0.000028, -0.000222
51646,  0.000042, -0.000227
51647,  0.000029, -0.000208
51648,  0.000006, -0.000177
51649, -0.000018, -0.000141
51650, -0.000040, -0.000102
51651, -0.000058, -0.000061
51652, -0.000069, -0.000020
51653, -0.000071,  0.000020
51654,  0.000052,  0.000091
51655,  0.000203,  0.000161
51656,  0.000321,  0.000210
51657,  0.000387,  0.000229
51658,  0.000380,  0.000209
51659,  0.000279,  0.000142
51660,  0.000051,  0.000012
51661, -0.000133, -0.000079
51662, -0.000241, -0.000112
51663, -0.000291, -0.000103
51664, -0.000294, -0.000062
51665, -0.000261,  0.000001
51666, -0.000200,  0.000077
51667, -0.000122,  0.000155
51668,  0.000004,  0.000239
51669,  0.000133,  0.000308
51670,  0.000230,  0.000345
51671,  0.000279,  0.000339
51672,  0.000260,  0.000277
51673,  0.000155,  0.000147
51674, -0.000107, -0.000102
51675,  0.000020, -0.000067
51676,  0.000196,  0.000035
51677,  0.000209,  0.000058
51678,  0.000133,  0.000042
51679, -0.000005, -0.000002
51680, -0.000178, -0.000065
51681, -0.000358, -0.000135
51682, -0.000343, -0.000133
51683, -0.000256, -0.000109
51684, -0.000167, -0.000089
51685, -0.000089, -0.000081
51686, -0.000037, -0.000088
51687, -0.000023, -0.000117
51688, -0.000066, -0.000178
51689, -0.000094, -0.000230
51690, -0.000092, -0.000267
51691, -0.000072, -0.000293
51692, -0.000036, -0.000307
51693,  0.000009, -0.000310
51694,  0.000059, -0.000304
51695,  0.000109, -0.000290
51696,  0.000120, -0.000264
51697,  0.000114, -0.000231
51698,  0.000103, -0.000193
51699,  0.000087, -0.000151
51700,  0.000069, -0.000109
51701,  0.000047, -0.000067
51702,  0.000024, -0.000026
51703, -0.000003,  0.000008
51704, -0.000030,  0.000037
51705, -0.000057,  0.000060
51706, -0.000083,  0.000077
51707, -0.000106,  0.000086
51708, -0.000126,  0.000087
51709, -0.000142,  0.000078
51710, -0.000124, -0.000072
51711, -0.000097, -0.000249
51712, -0.000076, -0.000382
51713, -0.000063, -0.000446
51714, -0.000065, -0.000414
51715, -0.000086, -0.000263
51716, -0.000134,  0.000052
51717, -0.000168,  0.000293
51718, -0.000180,  0.000417
51719, -0.000177,  0.000454
51720, -0.000160,  0.000422
51721, -0.000134,  0.000335
51722, -0.000101,  0.000210
51723, -0.000064,  0.000064
51724, -0.000017,  0.000013
51725,  0.000029, -0.000001
51726,  0.000069, -0.000010
51727,  0.000097, -0.000012
51728,  0.000110, -0.000005
51729,  0.000103,  0.000012
51730,  0.000072,  0.000040
51731,  0.000013,  0.000081
51732, -0.000085,  0.000141
51733, -0.000160,  0.000176
51734, -0.000193,  0.000171
51735, -0.000185,  0.000129
51736, -0.000133,  0.000052
51737, -0.000031, -0.000079
51738,  0.000065, -0.000030
51739,  0.000119,  0.000068
51740,  0.000128,  0.000107
51741,  0.000104,  0.000117
51742,  0.000057,  0.000104
51743, -0.000003,  0.000075
51744, -0.000066,  0.000037
51745, -0.000047,  0.000060
51746,  0.000001,  0.000097
51747,  0.000043,  0.000120
51748,  0.000070,  0.000119
51749,  0.000075,  0.000088
51750,  0.000049,  0.000018
51751, -0.000019, -0.000103
51752, -0.000077, -0.000196
51753, -0.000112, -0.000242
51754, -0.000131, -0.000254
51755, -0.000137, -0.000238
51756, -0.000132, -0.000200
51757, -0.000118, -0.000147
51758, -0.000099, -0.000086
51759, -0.000087, -0.000056
51760, -0.000077, -0.000038
51761, -0.000065, -0.000020
51762, -0.000054, -0.000002
51763, -0.000044,  0.000015
51764, -0.000035,  0.000030
51765, -0.000029,  0.000043
51766, -0.000055, -0.000003
51767, -0.000091, -0.000066
51768, -0.000125, -0.000116
51769, -0.000152, -0.000144
51770, -0.000170, -0.000141
51771, -0.000173, -0.000099
51772, -0.000158, -0.000008
51773, -0.000109,  0.000188
51774, -0.000054,  0.000379
51775, -0.000005,  0.000427
51776,  0.000029,  0.000366
51777,  0.000036,  0.000257
51778,  0.000006,  0.000137
51779, -0.000089,  0.000055
51780, -0.000023, -0.000029
51781,  0.000063, -0.000069
51782,  0.000058, -0.000043
51783,  0.000002,  0.000028
51784, -0.000089,  0.000132
51785, -0.000199,  0.000253
51786, -0.000315,  0.000380
51787, -0.000314,  0.000410
51788, -0.000262,  0.000396
51789, -0.000196,  0.000369
51790, -0.000121,  0.000331
51791, -0.000041,  0.000287
51792,  0.000040,  0.000237
51793,  0.000116,  0.000186
51794,  0.000168,  0.000171
51795,  0.000203,  0.000166
51796,  0.000225,  0.000159
51797,  0.000233,  0.000146
51798,  0.000224,  0.000124
51799,  0.000196,  0.000091
51800,  0.000149,  0.000044
51801,  0.000065, -0.000037
51802, -0.000017, -0.000107
51803, -0.000038, -0.000088
51804, -0.000026, -0.000026
51805, -0.000000,  0.000047
51806,  0.000023,  0.000103
51807,  0.000026,  0.000117
51808, -0.000003,  0.000014
51809, -0.000047, -0.000078
51810, -0.000088, -0.000093
51811, -0.000113, -0.000067
51812, -0.000109, -0.000020
51813, -0.000064,  0.000027
51814,  0.000042,  0.000049
51815,  0.000136,  0.000065
51816,  0.000195,  0.000078
51817,  0.000227,  0.000088
51818,  0.000236,  0.000097
51819,  0.000227,  0.000104
51820,  0.000204,  0.000111
51821,  0.000172,  0.000118
51822,  0.000118,  0.000239
51823,  0.000060,  0.000385
51824,  0.000010,  0.000501
51825, -0.000024,  0.000570
51826, -0.000036,  0.000572
51827, -0.000019,  0.000491
51828,  0.000034,  0.000308
51829,  0.000137, -0.000011
51830,  0.000161, -0.000271
51831,  0.000085, -0.000409
51832, -0.000021, -0.000438
51833, -0.000101, -0.000360
51834, -0.000099, -0.000178
51835,  0.000092,  0.000146
51836, -0.000053,  0.000139
51837, -0.000212,  0.000039
51838, -0.000198,  0.000014
51839, -0.000116,  0.000020
51840, -0.000028,  0.000046
51841,  0.000008,  0.000081
51842, -0.000085,  0.000112
51843, -0.000127,  0.000118
51844, -0.000098,  0.000098
51845, -0.000034,  0.000068
51846,  0.000041,  0.000042
51847,  0.000101,  0.000031
51848,  0.000121,  0.000048
51849,  0.000062,  0.000118
51850,  0.000060,  0.000110
51851,  0.000134,  0.000006
51852,  0.000216, -0.000134
51853,  0.000286, -0.000287
51854,  0.000353, -0.000449
51855,  0.000412, -0.000606
51856,  0.000457, -0.000745
51857,  0.000482, -0.000852
51858,  0.000482, -0.000914
51859,  0.000451, -0.000917
51860,  0.000385, -0.000848
51861,  0.000278, -0.000693
51862,  0.000123, -0.000439
51863, -0.000092, -0.000053
51864, -0.000243,  0.000223
51865, -0.000311,  0.000354
51866, -0.000317,  0.000380
51867, -0.000273,  0.000325
51868, -0.000192,  0.000213
51869, -0.000087,  0.000068
